employee_id,name,branch_id,role,hiring_date,salary
1,Richard Rodriguez,30,Customer Service,09-11-2016,62479
2,Robert Rodriguez,136,Relationship Manager,04-08-2010,50855
3,Arjun Rodriguez,35,Customer Service,12-02-2020,94948
4,Arjun Singh,146,Loan Officer,11-02-2022,40756
5,Robert Joshi,29,Customer Service,09-05-2010,155016
6,Barbara Joshi,83,Loan Officer,02-06-2022,175507
7,Elizabeth Chopra,119,Loan Officer,26-10-2002,120049
8,Arjun Miller,12,Branch Manager,23-09-2002,176937
9,Rahul Pillai,11,Teller,02-04-2025,38448
10,Rahul Reddy,128,Teller,06-08-2014,124146
11,Kiran Reddy,10,Loan Officer,15-06-2011,95322
12,Sanjay Kumar,93,Teller,16-12-2003,70159
13,Susan Malhotra,141,Loan Officer,06-05-2007,75389
14,Robert Pillai,93,Customer Service,09-06-2017,110867
15,Vikram Rao,73,Relationship Manager,17-04-2023,125530
16,Deepak Mehta,63,Teller,12-05-2010,52929
17,Ajay Chopra,96,Customer Service,23-07-2011,121413
18,Elizabeth Davis,86,Loan Officer,24-02-2004,168834
19,Elizabeth Martinez,76,Teller,10-02-2002,29580
20,Mary Mehta,24,Teller,16-02-2011,161510
21,Jennifer Johnson,100,Teller,21-09-2014,120369
22,Priya Martinez,111,Teller,26-08-2002,80017
23,Priya Kumar,107,Teller,20-05-2010,139697
24,Jessica Menon,12,Loan Officer,21-04-2016,121903
25,Richard Nair,106,Branch Manager,10-08-2020,144846
26,Ritu Verma,110,Teller,07-11-2023,40355
27,Charles Patel,28,Teller,25-08-2008,36964
28,Manoj Singh,128,Teller,27-03-2022,125586
29,Ajay Reddy,79,Branch Manager,14-08-2017,74156
30,Susan Smith,71,Teller,15-12-2006,64217
31,William Reddy,109,Branch Manager,31-05-2017,92033
32,Ajay Gupta,77,Teller,02-01-2004,138232
33,Neha Kumar,82,Teller,31-05-2011,55325
34,Barbara Desai,47,Relationship Manager,16-10-2007,175925
35,Vikram Pillai,140,Teller,24-03-2025,91951
36,Rohan Mehta,146,Teller,20-11-2000,50888
37,Deepak Sharma,20,Teller,10-10-2021,38811
38,David Patel,110,Compliance Officer,23-02-2007,158304
39,Meera Garcia,4,Customer Service,02-12-2000,45209
40,Kiran Pillai,56,Customer Service,10-10-2016,91682
41,Linda Chatterjee,146,Compliance Officer,26-03-2017,129641
42,Michael Chatterjee,27,Teller,13-08-2003,105990
43,Rohan Martinez,57,Compliance Officer,21-12-2000,67911
44,Mary Martinez,33,Teller,23-05-2010,44405
45,Richard Chatterjee,110,Customer Service,13-05-2003,136133
46,Sarah Reddy,70,Loan Officer,20-12-2001,102523
47,Ajay Kumar,89,Loan Officer,19-01-2020,35312
48,Meera Iyer,142,Relationship Manager,25-03-2022,55542
49,Michael Patel,79,Teller,21-03-2018,113530
50,Anjali Mehta,111,Compliance Officer,30-12-2023,53594
51,Patricia Bose,15,Loan Officer,14-11-2023,87500
52,Pooja Sharma,33,Customer Service,08-03-2001,46927
53,Ritu Bose,143,Compliance Officer,09-09-2008,149139
54,Anjali Davis,129,Teller,26-04-2019,123822
55,Elizabeth Gupta,99,Relationship Manager,18-08-2008,147160
56,Anjali Joshi,57,Customer Service,25-09-2018,35972
57,Robert Pillai,30,Customer Service,05-09-2019,85085
58,Rohan Joshi,128,Teller,03-05-2025,68677
59,Karen Martinez,118,Branch Manager,20-05-2008,122652
60,Richard Chatterjee,37,Customer Service,03-11-2008,152867
61,James Pillai,89,Loan Officer,13-08-2000,62587
62,Sanjay Menon,93,Teller,04-04-2007,144999
63,Susan Smith,72,Teller,07-07-2011,116221
64,Arjun Chopra,140,Relationship Manager,14-09-2010,153256
65,Thomas Menon,19,Teller,08-10-2021,40352
66,Jessica Chopra,39,Customer Service,01-09-2019,178620
67,Anjali Miller,15,Compliance Officer,08-07-2018,94059
68,Patricia Chopra,104,Teller,18-02-2000,70572
69,Pooja Brown,97,Teller,27-12-2011,55774
70,Pooja Iyer,149,Customer Service,17-07-2018,177706
71,Jessica Mehta,82,Teller,20-03-2006,162273
72,David Patel,23,Customer Service,18-10-2010,47941
73,James Singh,68,Customer Service,23-06-2018,95624
74,Kiran Davis,14,Customer Service,11-03-2020,139497
75,Kiran Mehta,101,Loan Officer,19-09-2021,117797
76,Elizabeth Kapoor,102,Customer Service,03-12-2010,56733
77,Mary Kapoor,129,Customer Service,01-03-2010,82778
78,Jennifer Rodriguez,51,Teller,22-09-2009,83956
79,John Martinez,47,Customer Service,30-08-2010,71888
80,Ritu Davis,11,Relationship Manager,04-03-2010,174026
81,Anjali Patel,63,Customer Service,11-04-2004,58843
82,Michael Rao,72,Loan Officer,28-02-2012,135404
83,Pooja Sharma,114,Teller,11-01-2006,166604
84,Linda Gupta,114,Teller,04-05-2013,148811
85,Jessica Rodriguez,22,Teller,02-08-2022,149518
86,Sneha Miller,43,Teller,19-09-2019,52139
87,Rahul Kapoor,77,Compliance Officer,24-02-2012,48255
88,Suresh Bose,51,Teller,04-11-2024,147003
89,Mary Rodriguez,4,Relationship Manager,29-11-2024,141502
90,William Chatterjee,127,Teller,18-04-2011,140767
91,Barbara Rao,110,Teller,28-05-2019,91616
92,Richard Garcia,79,Loan Officer,12-09-2008,107563
93,Meera Sharma,48,Teller,01-05-2022,30340
94,Sanjay Smith,127,Customer Service,30-06-2009,72236
95,Susan Johnson,6,Compliance Officer,25-07-2006,108311
96,Ajay Sharma,67,Relationship Manager,27-05-2003,47110
97,Anita Patel,121,Teller,01-06-2021,47767
98,Anita Malhotra,143,Customer Service,19-07-2007,34872
99,Sarah Jones,38,Teller,02-09-2020,59910
100,Jennifer Chatterjee,98,Relationship Manager,13-03-2002,178917
101,Kiran Davis,29,Branch Manager,16-11-2010,133798
102,James Jones,18,Teller,25-02-2011,172134
103,Linda Singh,53,Teller,02-04-2004,67085
104,Elizabeth Malhotra,133,Teller,20-10-2008,119025
105,Barbara Mehta,104,Teller,14-12-2011,163567
106,Jennifer Brown,74,Relationship Manager,02-03-2020,81508
107,James Brown,43,Customer Service,02-10-2011,127889
108,Arjun Verma,22,Compliance Officer,01-04-2006,133310
109,Ajay Patel,41,Teller,02-09-2006,154507
110,Robert Menon,23,Customer Service,21-07-2015,175360
111,Richard Rodriguez,29,Teller,27-01-2011,121508
112,Anita Garcia,104,Branch Manager,26-11-2022,116545
113,Kiran Pillai,20,Teller,06-03-2011,160065
114,Kavya Jones,8,Teller,29-05-2014,132047
115,Sanjay Smith,82,Customer Service,16-08-2001,82976
116,Amit Gupta,43,Teller,03-12-2004,123781
117,Sarah Gupta,69,Loan Officer,10-08-2021,111469
118,William Mehta,21,Customer Service,05-10-2008,62771
119,Suresh Desai,32,Teller,13-09-2010,106415
120,Divya Joshi,67,Relationship Manager,02-01-2015,122782
121,Mary Rodriguez,104,Branch Manager,21-06-2001,165376
122,Rahul Menon,63,Relationship Manager,15-11-2012,116231
123,Patricia Mehta,82,Customer Service,18-10-2008,53067
124,Pooja Williams,79,Customer Service,11-10-2003,178122
125,Manoj Pillai,41,Customer Service,19-08-2010,115865
126,Jennifer Jones,42,Relationship Manager,10-05-2011,71639
127,Sarah Rao,64,Customer Service,25-09-2004,142673
128,Jennifer Malhotra,5,Teller,20-10-2013,86474
129,Amit Davis,103,Teller,17-10-2006,84247
130,Kiran Rodriguez,93,Customer Service,25-07-2024,155594
131,Patricia Iyer,46,Teller,26-07-2015,159872
132,Thomas Desai,57,Teller,25-08-2019,107636
133,Ajay Miller,50,Teller,13-10-2001,84698
134,Richard Kapoor,98,Branch Manager,04-07-2019,159217
135,Jennifer Patel,114,Teller,18-01-2018,54342
136,Anita Brown,17,Customer Service,10-06-2020,141573
137,Anita Kumar,62,Customer Service,13-05-2006,116775
138,Arjun Bose,3,Relationship Manager,03-08-2006,157816
139,Richard Rao,68,Teller,06-07-2001,91926
140,Ajay Garcia,38,Branch Manager,19-05-2015,154468
141,Rohan Jones,51,Customer Service,03-06-2010,30308
142,Barbara Gupta,69,Loan Officer,03-02-2004,143256
143,Ajay Nair,49,Customer Service,16-01-2008,38615
144,Deepak Reddy,60,Teller,28-03-2010,125645
145,Anita Davis,115,Compliance Officer,14-04-2023,57682
146,Mary Nair,122,Teller,25-02-2003,174447
147,Sneha Rodriguez,1,Relationship Manager,21-09-2008,144938
148,Priya Singh,57,Customer Service,06-01-2006,43901
149,Michael Malhotra,128,Teller,26-06-2022,163590
150,Vikram Kapoor,80,Customer Service,10-02-2023,66295
151,Ritu Smith,31,Teller,29-08-2009,110937
152,Robert Menon,90,Customer Service,16-12-2018,40961
153,Rahul Smith,22,Customer Service,19-03-2019,44045
154,Jennifer Menon,4,Teller,30-04-2017,64679
155,Pooja Smith,95,Teller,27-09-2004,109231
156,Sarah Nair,78,Customer Service,04-04-2001,110520
157,James Brown,114,Teller,28-10-2008,158052
158,Ajay Williams,52,Relationship Manager,02-05-2003,53101
159,Michael Singh,129,Customer Service,06-06-2007,141920
160,Sneha Kumar,64,Customer Service,22-03-2016,28893
161,Linda Brown,111,Teller,18-12-2014,72246
162,Kiran Menon,16,Customer Service,28-04-2005,54601
163,Pooja Martinez,15,Relationship Manager,13-06-2000,46831
164,Divya Martinez,118,Teller,25-09-2005,116847
165,Sarah Rodriguez,126,Teller,23-07-2011,164903
166,Karen Patel,142,Teller,20-10-2019,129380
167,Neha Garcia,49,Loan Officer,12-04-2009,157821
168,Divya Gupta,4,Customer Service,08-04-2007,117899
169,Ritu Miller,147,Loan Officer,05-01-2014,36164
170,James Johnson,91,Customer Service,26-10-2001,80590
171,Arjun Verma,38,Teller,23-09-2005,153198
172,Robert Singh,115,Teller,11-05-2013,34719
173,Barbara Chopra,136,Teller,07-04-2011,42776
174,Ritu Sharma,43,Relationship Manager,07-09-2015,154737
175,David Martinez,116,Customer Service,15-01-2010,37619
176,Divya Malhotra,119,Loan Officer,04-05-2023,173835
177,Charles Singh,76,Customer Service,25-10-2002,143307
178,Elizabeth Bose,95,Teller,21-05-2023,129097
179,Susan Joshi,41,Teller,30-12-2004,109519
180,Rohan Bose,140,Teller,24-04-2006,41579
181,Sanjay Pillai,148,Compliance Officer,19-06-2013,91011
182,Sneha Gupta,148,Customer Service,29-09-2000,150779
183,Kiran Verma,111,Customer Service,03-04-2009,165387
184,Suresh Martinez,7,Teller,11-12-2004,95941
185,Pooja Davis,55,Teller,06-04-2012,155574
186,Sneha Chopra,67,Customer Service,14-09-2020,146042
187,Barbara Kumar,144,Loan Officer,27-06-2023,36758
188,Thomas Bose,83,Relationship Manager,23-05-2005,122266
189,Robert Garcia,81,Customer Service,06-11-2013,121645
190,Jessica Iyer,23,Loan Officer,22-01-2012,110517
191,Deepak Miller,120,Customer Service,20-07-2010,145384
192,Sarah Desai,51,Compliance Officer,30-01-2016,163203
193,Robert Rodriguez,14,Loan Officer,22-02-2025,111674
194,Neha Jones,149,Customer Service,19-04-2010,76698
195,Ajay Rao,29,Relationship Manager,28-08-2001,177416
196,Suresh Desai,3,Teller,12-04-2023,174471
197,Barbara Joshi,12,Relationship Manager,09-09-2023,132279
198,Charles Williams,68,Teller,11-03-2008,125376
199,Rohan Martinez,16,Customer Service,30-09-2012,43829
200,David Jones,127,Customer Service,03-12-2021,89045
201,Barbara Martinez,77,Customer Service,24-03-2012,58141
202,Elizabeth Reddy,49,Loan Officer,07-06-2023,106263
203,Meera Rodriguez,1,Customer Service,23-01-2021,153589
204,Pooja Williams,72,Teller,22-11-2012,62128
205,Ritu Nair,23,Teller,08-02-2004,179507
206,Manoj Johnson,147,Teller,11-03-2017,47688
207,Ajay Miller,44,Customer Service,04-12-2006,42947
208,Robert Smith,72,Loan Officer,27-08-2013,176119
209,Anjali Williams,3,Teller,28-09-2016,43250
210,John Patel,20,Relationship Manager,28-02-2002,139747
211,Karen Chatterjee,32,Loan Officer,24-06-2014,144034
212,Sneha Malhotra,8,Loan Officer,29-09-2018,78176
213,Joseph Williams,109,Loan Officer,12-06-2005,37781
214,Jennifer Johnson,142,Teller,08-12-2013,74889
215,Linda Sharma,148,Customer Service,11-01-2018,38421
216,Manoj Kapoor,40,Loan Officer,15-02-2001,130180
217,Susan Chopra,119,Teller,15-05-2016,163100
218,Richard Bose,76,Compliance Officer,08-08-2006,179556
219,Deepak Sharma,7,Relationship Manager,05-02-2010,149668
220,Jennifer Garcia,14,Customer Service,20-06-2016,145744
221,Deepak Smith,83,Relationship Manager,10-02-2000,161997
222,Deepak Jones,64,Relationship Manager,08-05-2011,145020
223,Sneha Johnson,2,Teller,20-02-2024,126878
224,Michael Chatterjee,140,Customer Service,26-02-2000,179430
225,Michael Rodriguez,110,Customer Service,18-01-2020,77025
226,Barbara Bose,76,Teller,27-11-2001,90739
227,Amit Reddy,149,Teller,04-06-2012,165759
228,Michael Reddy,146,Teller,11-12-2010,75275
229,Charles Patel,147,Customer Service,24-11-2011,73405
230,Robert Bose,39,Customer Service,30-01-2002,51116
231,Priya Johnson,133,Customer Service,25-02-2019,69877
232,James Williams,76,Teller,03-01-2007,118233
233,Rahul Gupta,109,Teller,06-08-2019,162732
234,John Verma,129,Loan Officer,28-08-2016,48712
235,Linda Reddy,25,Branch Manager,04-01-2014,131485
236,Linda Chopra,68,Relationship Manager,04-11-2007,144483
237,Ritu Rao,20,Relationship Manager,29-07-2016,164142
238,John Davis,42,Relationship Manager,10-05-2025,142007
239,Sarah Martinez,63,Relationship Manager,18-06-2023,51696
240,Sneha Chopra,129,Compliance Officer,16-04-2023,102314
241,Rohan Miller,130,Loan Officer,01-08-2005,172749
242,Arjun Nair,59,Teller,16-11-2014,166078
243,Divya Reddy,50,Teller,09-02-2010,121136
244,Thomas Chopra,80,Loan Officer,29-07-2024,174404
245,Manoj Kumar,137,Teller,23-02-2024,129541
246,Susan Patel,147,Teller,22-01-2022,37863
247,Meera Martinez,35,Compliance Officer,19-02-2004,166937
248,Anita Verma,28,Teller,08-02-2008,53558
249,Pooja Gupta,107,Compliance Officer,28-01-2018,85874
250,Suresh Miller,46,Customer Service,19-01-2019,64191
251,Divya Mehta,30,Customer Service,24-06-2003,137375
252,Ritu Miller,5,Customer Service,24-06-2003,32557
253,Rohan Kapoor,61,Teller,25-05-2017,125331
254,Mary Chopra,59,Customer Service,18-07-2011,159385
255,Anita Pillai,85,Teller,24-06-2012,147738
256,Linda Brown,31,Relationship Manager,05-06-2000,74662
257,Anjali Chopra,108,Teller,06-03-2019,164335
258,Elizabeth Williams,103,Teller,20-12-2006,83030
259,Elizabeth Sharma,70,Customer Service,01-09-2023,131369
260,David Garcia,28,Customer Service,12-04-2024,105014
261,Neha Jones,77,Loan Officer,05-10-2012,38281
262,Amit Garcia,102,Customer Service,10-01-2008,28446
263,Kiran Johnson,56,Teller,04-12-2005,55837
264,Sarah Bose,40,Customer Service,11-08-2004,170067
265,Barbara Johnson,76,Teller,24-05-2025,173004
266,John Verma,54,Teller,06-10-2004,90336
267,James Singh,61,Teller,06-03-2012,175234
268,Jessica Menon,53,Teller,05-04-2017,35517
269,Deepak Chatterjee,46,Teller,01-06-2021,175046
270,Rohan Jones,108,Loan Officer,07-03-2014,63099
271,Anjali Menon,70,Teller,07-04-2019,33593
272,Robert Kapoor,70,Teller,27-05-2014,143195
273,Patricia Garcia,98,Branch Manager,07-02-2011,86132
274,Ritu Patel,55,Teller,04-01-2004,72434
275,Robert Joshi,16,Customer Service,21-04-2005,143470
